full_name,category,default_branch,commits_atom,releases_atom
MicrosoftDocs/msteams-docs,docs,main,https://github.com/MicrosoftDocs/msteams-docs/commits/main.atom,https://github.com/MicrosoftDocs/msteams-docs/releases.atom
Azure-Samples/azure-nvidia-robotics-reference-architecture,samples,main,https://github.com/Azure-Samples/azure-nvidia-robotics-reference-architecture/commits/main.atom,https://github.com/Azure-Samples/azure-nvidia-robotics-reference-architecture/releases.atom
microsoft/dragon-copilot-extension-samples,samples,main,https://github.com/microsoft/dragon-copilot-extension-samples/commits/main.atom,https://github.com/microsoft/dragon-copilot-extension-samples/releases.atom
Azure/azure-cli-extensions,docs,main,https://github.com/Azure/azure-cli-extensions/commits/main.atom,https://github.com/Azure/azure-cli-extensions/releases.atom
microsoftgraph/msgraph-sample-eventgrid-notifications-typescript,samples,main,https://github.com/microsoftgraph/msgraph-sample-eventgrid-notifications-typescript/commits/main.atom,https://github.com/microsoftgraph/msgraph-sample-eventgrid-notifications-typescript/releases.atom
microsoft/kiota-dotnet,docs,main,https://github.com/microsoft/kiota-dotnet/commits/main.atom,https://github.com/microsoft/kiota-dotnet/releases.atom
microsoftgraph/msgraph-snippets-php,docs,main,https://github.com/microsoftgraph/msgraph-snippets-php/commits/main.atom,https://github.com/microsoftgraph/msgraph-snippets-php/releases.atom
microsoft/amplifier-module-tool-web,docs,main,https://github.com/microsoft/amplifier-module-tool-web/commits/main.atom,https://github.com/microsoft/amplifier-module-tool-web/releases.atom
microsoftgraph/github-issue-manager,samples,main,https://github.com/microsoftgraph/github-issue-manager/commits/main.atom,https://github.com/microsoftgraph/github-issue-manager/releases.atom
dotnet/templating,docs,main,https://github.com/dotnet/templating/commits/main.atom,https://github.com/dotnet/templating/releases.atom
dotnet/source-build-reference-packages,reference,main,https://github.com/dotnet/source-build-reference-packages/commits/main.atom,https://github.com/dotnet/source-build-reference-packages/releases.atom
MicrosoftDocs/azure-docs-cli,docs,main,https://github.com/MicrosoftDocs/azure-docs-cli/commits/main.atom,https://github.com/MicrosoftDocs/azure-docs-cli/releases.atom
microsoft/mcp-dotnet-samples,samples,main,https://github.com/microsoft/mcp-dotnet-samples/commits/main.atom,https://github.com/microsoft/mcp-dotnet-samples/releases.atom
dotnet/orleans,docs,main,https://github.com/dotnet/orleans/commits/main.atom,https://github.com/dotnet/orleans/releases.atom
Azure-Samples/semantic-kernel-customer-assistant-demo-java,samples,main,https://github.com/Azure-Samples/semantic-kernel-customer-assistant-demo-java/commits/main.atom,https://github.com/Azure-Samples/semantic-kernel-customer-assistant-demo-java/releases.atom
Azure/template-reference-generator,reference,main,https://github.com/Azure/template-reference-generator/commits/main.atom,https://github.com/Azure/template-reference-generator/releases.atom
microsoft/power-pages-samples,docs,main,https://github.com/microsoft/power-pages-samples/commits/main.atom,https://github.com/microsoft/power-pages-samples/releases.atom
MicrosoftDocs/azure-security-docs,docs,main,https://github.com/MicrosoftDocs/azure-security-docs/commits/main.atom,https://github.com/MicrosoftDocs/azure-security-docs/releases.atom
MicrosoftDocs/reliability-docs,docs,main,https://github.com/MicrosoftDocs/reliability-docs/commits/main.atom,https://github.com/MicrosoftDocs/reliability-docs/releases.atom
microsoft/Dynamics365Commerce.InStore,samples,main,https://github.com/microsoft/Dynamics365Commerce.InStore/commits/main.atom,https://github.com/microsoft/Dynamics365Commerce.InStore/releases.atom
Azure/azure-sdk-for-rust,docs,main,https://github.com/Azure/azure-sdk-for-rust/commits/main.atom,https://github.com/Azure/azure-sdk-for-rust/releases.atom
microsoft/AZD-for-beginners,samples,main,https://github.com/microsoft/AZD-for-beginners/commits/main.atom,https://github.com/microsoft/AZD-for-beginners/releases.atom
MicrosoftLearning/mslearn-azure-ai,training,main,https://github.com/MicrosoftLearning/mslearn-azure-ai/commits/main.atom,https://github.com/MicrosoftLearning/mslearn-azure-ai/releases.atom
Azure/azure-sdk-for-java,docs,main,https://github.com/Azure/azure-sdk-for-java/commits/main.atom,https://github.com/Azure/azure-sdk-for-java/releases.atom
MicrosoftDocs/fabric-docs,docs,main,https://github.com/MicrosoftDocs/fabric-docs/commits/main.atom,https://github.com/MicrosoftDocs/fabric-docs/releases.atom
microsoft/Dynamics365Commerce.Solutions,samples,main,https://github.com/microsoft/Dynamics365Commerce.Solutions/commits/main.atom,https://github.com/microsoft/Dynamics365Commerce.Solutions/releases.atom
MicrosoftDocs/azure-management-docs,docs,main,https://github.com/MicrosoftDocs/azure-management-docs/commits/main.atom,https://github.com/MicrosoftDocs/azure-management-docs/releases.atom
Azure/data-api-builder,docs,main,https://github.com/Azure/data-api-builder/commits/main.atom,https://github.com/Azure/data-api-builder/releases.atom
microsoft/Dynamics365Commerce.ScaleUnit,samples,main,https://github.com/microsoft/Dynamics365Commerce.ScaleUnit/commits/main.atom,https://github.com/microsoft/Dynamics365Commerce.ScaleUnit/releases.atom
OfficeDev/Office-Add-in-samples,samples,main,https://github.com/OfficeDev/Office-Add-in-samples/commits/main.atom,https://github.com/OfficeDev/Office-Add-in-samples/releases.atom
Azure/awesome-azd,docs,main,https://github.com/Azure/awesome-azd/commits/main.atom,https://github.com/Azure/awesome-azd/releases.atom
Azure-Samples/Durable-Task-Scheduler,samples,main,https://github.com/Azure-Samples/Durable-Task-Scheduler/commits/main.atom,https://github.com/Azure-Samples/Durable-Task-Scheduler/releases.atom
MicrosoftDocs/microsoft-365-docs,docs,public,https://github.com/MicrosoftDocs/microsoft-365-docs/commits/public.atom,https://github.com/MicrosoftDocs/microsoft-365-docs/releases.atom
Azure/azure-sdk-for-net,docs,main,https://github.com/Azure/azure-sdk-for-net/commits/main.atom,https://github.com/Azure/azure-sdk-for-net/releases.atom
Azure-Samples/function-calling-data-synthesizer,samples,main,https://github.com/Azure-Samples/function-calling-data-synthesizer/commits/main.atom,https://github.com/Azure-Samples/function-calling-data-synthesizer/releases.atom
microsoft/amplifier-module-loop-streaming,docs,main,https://github.com/microsoft/amplifier-module-loop-streaming/commits/main.atom,https://github.com/microsoft/amplifier-module-loop-streaming/releases.atom
microsoft/amplifier-module-context-simple,docs,main,https://github.com/microsoft/amplifier-module-context-simple/commits/main.atom,https://github.com/microsoft/amplifier-module-context-simple/releases.atom
microsoft/amplifier-module-provider-gemini,docs,main,https://github.com/microsoft/amplifier-module-provider-gemini/commits/main.atom,https://github.com/microsoft/amplifier-module-provider-gemini/releases.atom
microsoft/amplifier-module-provider-anthropic,docs,main,https://github.com/microsoft/amplifier-module-provider-anthropic/commits/main.atom,https://github.com/microsoft/amplifier-module-provider-anthropic/releases.atom
microsoft/amplifier-module-provider-vllm,docs,main,https://github.com/microsoft/amplifier-module-provider-vllm/commits/main.atom,https://github.com/microsoft/amplifier-module-provider-vllm/releases.atom
microsoft/perfview,samples,main,https://github.com/microsoft/perfview/commits/main.atom,https://github.com/microsoft/perfview/releases.atom
microsoft/Conversation-Knowledge-Mining-Solution-Accelerator,samples,main,https://github.com/microsoft/Conversation-Knowledge-Mining-Solution-Accelerator/commits/main.atom,https://github.com/microsoft/Conversation-Knowledge-Mining-Solution-Accelerator/releases.atom
microsoft/simplechat,docs,main,https://github.com/microsoft/simplechat/commits/main.atom,https://github.com/microsoft/simplechat/releases.atom
microsoft/amplifier-module-provider-ollama,docs,main,https://github.com/microsoft/amplifier-module-provider-ollama/commits/main.atom,https://github.com/microsoft/amplifier-module-provider-ollama/releases.atom
Azure/SAP-automation-samples,samples,main,https://github.com/Azure/SAP-automation-samples/commits/main.atom,https://github.com/Azure/SAP-automation-samples/releases.atom
microsoft/amplifier-module-hooks-streaming-ui,docs,main,https://github.com/microsoft/amplifier-module-hooks-streaming-ui/commits/main.atom,https://github.com/microsoft/amplifier-module-hooks-streaming-ui/releases.atom
MicrosoftLearning/SC-401T00-Information-Security-Administrator,training,master,https://github.com/MicrosoftLearning/SC-401T00-Information-Security-Administrator/commits/master.atom,https://github.com/MicrosoftLearning/SC-401T00-Information-Security-Administrator/releases.atom
microsoft/amplifier-app-cli,docs,main,https://github.com/microsoft/amplifier-app-cli/commits/main.atom,https://github.com/microsoft/amplifier-app-cli/releases.atom
